Name, School
Mike Phillips,	Kentucky
Hollis Copeland,	Rutgers
Billyray Bates,	Kentucky State
Mike Santos,	Utah State
Jeff Cook,	Idaho State
Dana Skinner,	Merrimack
Ricky Gallon,	Louisville
Mike Russell,	Texas Tech
Randy Ayers,	Miami (OH)
Steve Grant,	Manhattan
Marc Iavaroni,	Virginia
Steve Neff,	Southern Nazarene
Ken Higgs,	Louisiana State
Rick Apke,	Creighton
Pat Cummings,	Cincinnati
Michael Cooper,	New Mexico
Dave Baxter,	Michigan
Dave Batton,	Notre Dame
Joel Kramer,	San Diego State
Gerald Henderson,	Virginia Commonwealth
Marvin Dalph,	Arkansas
Sterling Edmunds,	Dartmouth
Jackie Robinson,	Nevada-Las Vegas
Jim Boylan,	Marquette
Joel Thompson,	Michigan
Jeffrey Crompton,	North Carolina
Ricky Lee,	Oregon State
Dave Nelson,	Bloomfield
Larry Harris,	Pittsburgh
Mel Davis,	North Texas
Jeff Covington,	Youngstown State
Leroy McDonald,	Wake Forest
Derrick Jackson,	Georgetown
Stan Rome,	Clemson
Erving Giddings,	Dayton
Otis Howard,	Austin Peay
Lawrence Boston,	Maryland
Harold Robertson,	Lincoln (MO)
Billy Lewis,	Illinois State
Walter Jordan,	Purdue
Bob Miller,	Cincinnati
Rich Adams,	Illinois
Brett Vroman,	Nevada-Las Vegas
Wayne Smith,	California-Irvine
Cecile Rose,	Houston
David Thompson,	Florida State
Gary Goodner,	Texas
James Sparrow,	North Carolina A&T
Derick Clairborne,	Massachusetts
Greg Tynes,	Seton Hall
Dave Caligaris,	Northeastern
Don Williams,	Notre Dame
Ron Anthony,	Jacksonville
Chris Potter,	Holy Cross
Ken Koenigs,	Kansas
Greg Green,	Southern University
Thomas Wilson,	Western Carolina
Roger Dickens,	Towson
Russ Coleman,	Pacific
Carlos Terry,	Winston-Salem State
Ralph Drollinger,	California-Los Angeles
Michael Edwards,	Texas-Pan American
Andre Wakefield,	Loyola-Chicago
Eugene Parker,	Purdue
Mark Haymore,	Massachusetts
Clay Johnson,	Missouri
Golie Augustus,	South Carolina
Bob Miscevicious,	Providence
Eddie Joe Chavez,	Santa Clara
Jim Krivacs,	Texas
Sherman Dillard,	James Madison
Dave Winey,	Minnesota
Audie Matthews,	Illinois
John Douglas,	Kansas
John Shoemaker,	Miami (OH)
Gerald Glover,	Howard
Ed Warren,	Briar Cliff
Buzz Hartnett,	San Diego
Ron Bell,	Virginia Tech
Dave Kyle,	Cleveland State
Archie Aldridge,	Miami (OH)
Kim Stewart,	Washington
Robert Heard,	Columbus State
Charles Thompson,	Houston
Harry Morgan,	Indiana State
Osborne Lockhart,	Minnesota
Tim Evans,	Puget Sound
Doug Jemison,	San Francisco
Stan Pietkiewicz,	Auburn
Stan Stewart,	Loyola-Marymount
Ollie Matson,	Pepperdine
Charles McMilliam,	North Texas
Steve Balkun,	Fairfield
Herb Entzminger,	Johnson C. Smith
Willie Howard,	New Mexico
Jarvis Reynolds,	West Georgia
Jim DeWeese,	Gonzaga
Rick Bernard,	St. Mary's (CA)
Tony Smith,	Nevada-Las Vegas
Gary Pember,	Nasson
Ed Hopkins,	Georgetown
Kim Anderson,	Missouri
Larry Paige,	Colorado State
Jack Gilloon,	South Carolina
Steve Malovic,	San Diego State
Hector Olivencia,	Sacred Heart
Anthony Murray,	Alabama
Walter Reason,	Pacific
Bruce Campbell,	Providence
Felton Young,	Jacksonville
Ron Hammye,	Bowling Green
Kim Fisher,	Fairfield
Earl Evans,	Nevada-Las Vegas
Carl Kilpatrick,	Louisiana-Monroe
John Cox,	San Francisco
Ed Murphy,	Merrimack
Roland Martin,	Missouri Southern State
Greg Sanders,	St. Bonaventure
Tony Searcy,	Appalachian State
Tom Zaligaris,	North Carolina
Nestor Cora,	St. Francis Brooklyn
Larry Vaculik,	Colorado
George Fowler,	Pacific
Henry Taylor,	Texas-Pan American
Alan Cunningham,	Colorado State
Mark Wickman,	Linfield
Frank Sowinski,	Princeton
Bobby White,	Centenary (LA)
Les Anderson,	George Washington
Ulice Payne,	Marquette
Chad Nelson,	Drake
Joe Ponsetto,	DePaul
Maurice Robinson,	West Virginia
Danny Fields,	North Carolina-Wilmington
Bobby Humbles,	Bradley
Steve Bayless,	Central State (OH)
Tim Claxton,	Temple
Gary Rosenberger,	Marquette
Tom Schneeburger,	Air Force
Nate Stokes,	Grand Canyon
Rick Taylor,	Arizona State
Paul Cozens,	Holy Cross
Michael Vicens,	Holy Cross
Walter Harrigan,	Brandeis
Dave Grauzer,	Central Michigan
Rickey Williams,	Long Beach State
Mark Tucker,	Oklahoma
Marshall Lester,	Florida Southern
Mike Muff,	Murray State
Gary Winston,	Army
Ernest Simons,	Pace
Tom Anderson,	Wisconsin-Green Bay
Steve Connor,	Boise State
Phil Taylor,	Arizona
Lewis Cohen,	Cal Poly
Larry Brewster,	Florida
Dennis James,	Widener
Tim Workington,	Biola
Kent Benson,	Indiana
Otis Birdsong,	Houston
Marques Johnson,	California-Los Angeles
Greg Ballard,	Oregon
Walter Davis,	North Carolina
Kenny Carr,	North Carolina State
Bernard King,	Tennessee
Jack Sikma,	Illinois Wesleyan
Tom LaGarde,	North Carolina
Ray Williams,	Minnesota
Ernie Grunfeld,	Tennessee
Cedric Maxwell,	North Carolina-Charlotte
Tate Armstrong,	Duke
Tree Rollins,	Clemson
Brad Davis,	Maryland
Rickey Green,	Michigan
Bo Ellis,	Marquette
Wesley Cox,	Louisville
Rich Laurel,	Hofstra
Glenn Mosley,	Seton Hall
Anthony Roberts,	Oral Roberts
Norm Nixon,	Duquesne
Mike Glenn,	Southern Illinois
Larry Johnson,	Kentucky
Wilson Washington,	Old Dominion
Glen Gondrezick,	Nevada-Las Vegas
Glenn Williams,	St. John's (NY)
Kim Anderson,	Missouri
Alonzo Bradley,	Texas Southern
Steve Sheppard,	Maryland
Eddie Owens,	Nevada-Las Vegas
Toby Knight,	Notre Dame
Eddie Jordan,	Rutgers
Larry Moffett,	Nevada-Las Vegas
Mark Landsberger,	Arizona State
Ben Poquette,	Central Michigan
Jeff Wilkins,	Illinois State
Ricky Love,	Alabama-Huntsville
Phil Walker,	Millersville
Robert Reid,	St. Mary's (TX)
T.R. Dunn,	Alabama
Bob Elliott,	Arizona
Herm Harris,	Arizona
Essie Hollis,	St. Bonaventure
Bill Paterno,	Notre Dame
James Edwards,	Washington
Gary Yoder,	Cincinnati
Sammy Smith,	Nevada-Las Vegas
Eddie Johnson,	Auburn
Tony Hanson,	Connecticut
Stan Mayhew,	Weber State
Joey Hassett,	Providence
John Kuester,	North Carolina
Lloyd McMillian,	Long Beach State
Steve Grote,	Michigan
Skip Brown,	Wake Forest
Steve Puidokas,	Washington State
John Irving,	Hofstra
Dan Henderson,	Arkansas State
Marlon Redmond,	San Francisco
Jerry Schellenberg,	Wake Forest
Phil Bond,	Louisville
Ricky Brown,	Alabama
Arnold Dugger,	Oral Roberts
Robert Smith,	Nevada-Las Vegas
Mike Bratz,	Stanford
Bob Elmore,	Wichita State
Melvin Watkins,	North Carolina-Charlotte
Lewis Brown,	Nevada-Las Vegas
Dave Bormann,	Gardner-Webb
Greg Griffin,	Idaho State
Dennis Boyd,	Detroit Mercy
George Pendleton,	Georgia State
Jim Cooper,	Alabama
Larry Williams,	Texas Southern
Steve Hayes,	Idaho State
Melvin Jones,	West Texas A&M
Jeff Cummings,	Tulane
Mike McConalthy,	Louisiana Tech
Bruce King,	Iowa
Matt Hicks,	Northern Illinois
Roy Smith,	Kentucky State
David Reavis,	Georgia
Rocky Smith,	Oregon State
Greg White,	Southern California
Jack Jones,	Utah
Leartha Scott,	Wisconsin-Parkside
Tony Robertson,	West Virginia
Gerald Cunningham,	Kentucky State
Mike Hanley,	Niagara
Ron Norwood,	DePaul
Bill Gordon,	Tennessee-Chattanooga
Cecil Rellford,	St. John's (NY)
Jim Grady,	Gonzaga
Marvin Jackson,	Prairie View A&M
Dale Haberman,	McKendree
Bob Chapman,	Michigan State
Bill Terry,	Monmouth
Al Smith,	Jackson State
Bill Langloh,	Virginia
Nate Davis,	South Carolina
Jim Kennedy,	Missouri
Scott Sims,	Missouri
Ray Epps,	Norfolk State
Bruce Parkinson,	Purdue
Ed Thompson,	Idaho State
Donn Wilber,	La Salle
Teko Wynder,	Tulsa
John Billups,	Mississippi
John Robinson,	Michigan
Mark Crow,	Duke
Curvan Lewis,	Virginia Union
Chuck Goodyear,	Miami (OH)
Calvin Crews,	Louisiana-Lafayette
Billy McKinney,	Northwestern
Wayne Golden,	Tennessee-Chattanooga
Tom Scheffler,	Purdue
Bucky O'Brien,	Seattle
Bob Cooper,	Providence
Jerry Graycraft,	Milligan
Ron Cox,	Eastern Washington
Roy Pace,	Rutgers-Camden
Jay Chessman,	Brigham Young
Herb Nobles,	Kansas
Bruce Buckley,	North Carolina
Jack Phelan,	Saint Francis (PA)
Ernie Wansley,	Virginia Tech
Myron Jordan,	Pacific
George Gibson,	Winston-Salem State
Jim Town,	Massachusetts
Grover Woolard,	Murray State
Scott Conant,	Newberry
Mike Jackson,	Tennessee
Ron Bostic,	Detroit Mercy
James Holliman,	Arizona State
Alvin Scott,	Oral Roberts
Lusia Harris,	Delta State
Billy Reynolds,	Northwestern State
Bruce Jenner,	Graceland (IA)
Tom Weadock,	St. John's (NY)
Bob Riddle,	Eastern Michigan
Dave Kyle,	Cleveland State
Mike Smith,	Evansville
Robert Lewis,	Johnson C. Smith
Richard Robinson,	New Mexico State
Jerry Thurston,	Mercer
Calvin Brown,	American
Don Smith,	Oregon State
Dennin Forest,	Nebraska-Omaha
Willie High,	Alabama State
Lars Hansen,	Washington
Ralph Drollinger,	California-Los Angeles
Emery Sammons,	Philadelphia University
Larry Pikes,	Milwaukee
Vern Thompson,	Brigham Young
Alvin Joseph,	California-Riverside
Dave Speicher,	Toledo
Jeff Frey,	Evansville
Ken Slappy,	St. Peter's
Tom Cutter,	Western Michigan
Tom Harris,	Bowling Green
Rich Rhodes,	Eastern Illinois
Tim Appleton,	Kenyon
Jerome Gladney,	Arizona
Eric Marsh,	Manhattan
Pat McKinley,	Towson
Harold Rhodes,	Washington
John Olive,	Villanova
Len Saunders,	Florida
Art Allen,	Pepperdine
John Lucas,	Maryland
Scott May,	Indiana
Richard Washington,	California-Los Angeles
Leon Douglas,	Alabama
Wally Walker,	Virginia
Adrian Dantley,	Notre Dame
Quinn Buckner,	Indiana
Robert Parish,	Centenary (LA)
Armond Hill,	Princeton
Ron Lee,	Oregon
Bob Wilkerson,	Indiana
Terry Furlow,	Michigan State
Mitch Kupchak,	North Carolina
Larry Wright,	Grambling
Chuckie Williams,	Kansas State
Norm Cook,	Kansas
Sonny Parker,	Texas A&M
Willie Smith,	Missouri
Bayard Forrest,	Grand Canyon
Major Jones,	Albany State (GA)
Earl Tatum,	Marquette
Johnny Davis,	Dayton
Alex English,	South Carolina
Scott Lloyd,	Arizona State
Lonnie Shelton,	Oregon State
Jacky Dorsey,	Georgia
Phil Hicks,	Tulane
Bob Carrington,	Boston College
Dennis Johnson,	Pepperdine
Al Fleming,	Arizona
Joe Pace,	Coppin State
Mo Howard,	Maryland
Butch Feher,	Vanderbilt
Marshall Rogers,	Texas-Pan American
Dallas Smith,	West Texas A&M
Mike Dabney,	Rutgers
Lars Hansen,	Washington
Phil Sellers,	Rutgers
Jeff Tyson,	Western Michigan
Lloyd Walton,	Marquette
John McGill,	Alcorn State
Steve Copp,	San Diego State
Tom Abernethy,	Indiana
Barnes Hauptfuhrer,	Princeton
Ira Terrell,	Southern Methodist
Larry Cooke,	Virginia Tech
Ron Norwood,	DePaul
Gary Brewster,	Texas-El Paso
Bill Cook,	Memphis
Gary Cole,	Wisconsin-Parkside
Jerry Fort,	Nebraska
Keith Starr,	Pittsburgh
Tom Barker,	Hawaii
Clarence Ramsey,	Washington
Scott Thompson,	Iowa
David Everett,	Grand Canyon
Rick Bullock,	Texas Tech
John Service,	California-Santa Barbara
Dan Frost,	Iowa
Wayman Britt,	Michigan
Hercle Ivy,	Iowa State
Paul Miller,	Oregon State
Willie Parr,	LeMoyne-Owen
Freeman Blade,	Montana State
Marion Hillard,	Memphis
John Engles,	Pennsylvania
Lewis Linder,	Kentucky State
Jeff Fosnes,	Vanderbilt
Nate Williams,	Illinois
Ron Davis,	Washington State
Willie Hodge,	Duke
Jim Hearns,	Marymount (VA)
Gary Reddings,	Auburn
Paul Griffin,	Western Michigan
Tom Lockhart,	Manhattan
Beaver Smith,	St. John's (NY)
James Rappis,	Arizona
Dave Marrs,	Houston
Ralph Walker,	St. Mary's (CA)
Robert Gray,	Wichita State
Jeff Browne,	Missouri Western State
Connie White,	California
L.C. Mason,	Alabama State
Ed Lawrence,	McNeese State
Louis McKinney,	Saint Louis
Carl Bird,	California
Tom Paulin,	Winston-Salem State
Pete Padgett,	Nevada-Reno
Andre McCarter,	California-Los Angeles
Russell Davis,	Virginia Tech
Duane Barnett,	Stanford
Phil Spence,	North Carolina State
Joe Jones,	Grambling
Barnard Tomlin,	Hofstra
Ed Schweitzer,	Stanford
Robert Paige,	Houston Baptist
Carl Brown,	Eastern Kentucky
Darrell Peterson,	Wake Forest
Mike Dunleavy,	South Carolina
Danny Odums,	Fairfield
Pat Tallent,	George Washington
Harry Davis,	Morris Brown
Art Collins,	St. Thomas (FL)
Gene Cunningham,	Norfolk State
Barry McLeod,	Centenary (LA)
Carl Gerlach,	Kansas State
Craig Prosser,	Canisius
Curt Peterson,	Puget Sound
Al DeWitt,	Weber State
Boyd Batts,	Nevada-Las Vegas
Andy Walker,	Niagara
Ron Barrow,	Southern University
Tommie Lipsey,	Cal State-Los Angeles
Barry Davis,	Texas A&M
Brad Warble,	Eastern Illinois
Mark Klein,	Malone
Phil Walker,	Millersville
Frank Jones,	Tennessee Tech
Ralph Vallott,	Loyola-Chicago
Johnny Britt,	Western Kentucky
Ralph Drollinger,	California-Los Angeles
Jesse Campbell,	Mercyhurst
Dale Koehler,	Wisconsin
Doug Terry,	Utah
Mike Davis,	Bradley
Randy Henry,	Illinois State
Brant Gibbler,	Puget Sound
Richard Bryant,	Texas State
Bob Warner,	Maine
Rick McCutcheon,	Arizona State
Ed Gregg,	Utah State
Dan Kruger,	Texas
Tom DeBerry,	Northern Arizona
Norton Barnhill,	Washington State
Lee Dixon,	Hardin-Simmons
Mark McAndrew,	Providence
Merlin Wilson,	Georgetown
Tim Sisneros,	Middle Tennessee State
John Clark,	Northeastern
Stan Boskovich,	West Virginia
John Thomas,	Connecticut
Bob Kovach,	San Diego State
Dave Logan,	Colorado
Bill Martin,	Hartwick
Rob Torresdal,	Linfield
Benny Shaw,	Florida Tech
Archie Talley,	Salem International
Calvin Robinson,	Mississippi Valley State
David Pickett,	Louisiana-Monroe
John Irving,	Hofstra
Ron Johnson,	North Carolina A&T
Fly Williams,	Austin Peay
Bob Rozyczko,	St. Bonaventure
Clyde Agnew,	Newberry
Bruce Parkinson,	Purdue
Bill Collins,	Boston College
Howard Smith,	San Francisco
John Hudson,	Concord
Mike Dickerson,	South Florida
Harry Bailey,	North Texas
Bob Johnson,	Wisconsin
Marcus Leite,	Pepperdine
Eugene Shy,	Florida
Art Johnson,	Iowa State
Hugo Cabrera,	Texas A&M-Commerce
Gary Jackson,	Arizona State
Ricky Lewis,	Alcorn State
Ed Stefanski,	Pennsylvania
Tim Stokes,	Canisius
Mike Beuscher,	Seton Hall
Elisha McSweeney,	Minnesota State-Mankato
Otho Tucker,	Illinois
Ken Smith,	San Diego State
David Thompson,	North Carolina State
Dave Meyers,	California-Los Angeles
Marvin Webster,	Morgan State
Alvan Adams,	Oklahoma
Darryl Dawkins,	Maynard Evans
Lionel Hollins,	Arizona State
Rich Kelley,	Stanford
Junior Bridgeman,	Louisville
Gene Short,	Jackson State
Bill Robinzine,	DePaul
Joe Meriweather,	Southern Illinois
Frank Oleynick,	Seattle
Bob Bigelow,	Pennsylvania
Joe Bryant,	La Salle
John Lambert,	Southern California
Ricky Sobers,	Nevada-Las Vegas
Tom Boswell,	South Carolina
Kevin Grevey,	Kentucky
Bill Willoughby,	Dwight Morrow
Gus Williams,	Southern California
Bruce Seals,	Xavier (LA)
Clyde Mayes,	Furman
World Free,	Guilford
Cornelius Cash,	Bowling Green
Bob Gross,	Long Beach State
Luther Burden,	Utah
Walter Luckett,	Ohio
Dan Roundfield,	Central Michigan
Jim Blanks,	Gardner-Webb
Steve Green,	Indiana
Glenn Hansen,	Louisiana State
John Laskowski,	Indiana
Mel Utley,	St. John's (NY)
Larry Fogle,	Canisius
Allen Murphy,	Louisville
Jimmy Conner,	Kentucky
Rudy Hackett,	Syracuse
Jim McElroy,	Central Michigan
Jimmie Baker,	Hawaii
Otis Johnson,	Stetson
Charles Cleveland,	Alabama
Tom Roy,	Maryland
Brian Hammel,	Bentley
Pete Trgovich,	California-Los Angeles
Ted Hathaway,	Cleveland State
John Ramsey,	Seton Hall
Rudy White,	Arizona State
Tom Kropp,	Nebraska-Kearney
Bob Guyette,	Kentucky
Gus Gerard,	Virginia
Robert Hawkins,	Illinois State
George Bucci,	Manhattan
Jerome Anderson,	West Virginia
Bayard Forrest,	Grand Canyon
Mack Coleman,	Houston Baptist
Charles Kupec,	Michigan
Monte Towe,	North Carolina State
Sam McCants,	Oral Roberts
Louis Dunbar,	Houston
Bill Campion,	Manhattan
Phil Hicks,	Tulane
Eric Fernsten,	San Francisco
David Vaughn,	Oral Roberts
Lindsay Hairston,	Michigan State
Ken Smith,	Tulsa
Jim Moore,	Utah State
Kevin Cleuss,	St. John's (NY)
Ron Haigler,	Pennsylvania
Billy Taylor,	La Salle
Bob Fleischer,	Duke
Fessor Leonard,	Furman
Cyrus Mann,	Illinois State
Andre Hampton,	Kentucky State
Charles Russell,	Alabama
Wilbur Holland,	New Orleans
Joe Pace,	Coppin State
Ken Tyler,	Gonzaga
Maurice Presley,	Houston
Jim Lee,	Syracuse
Donald Washington,	North Carolina
Cliff Pratt,	Shaw
Mike Odems,	Western Kentucky
Rick Whitlow,	Illinois State
Dwain Govan,	Bishop
Ed Stahl,	North Carolina
Bob Iverson,	North Texas
Larry Pounds,	Washington
Sam Berry,	Armstrong
Darryl Brown,	Fordham
Rich Jones,	Virginia Commonwealth
Rich Schmidt,	Illinois
Don Ford,	California-Santa Barbara
Danny Williams,	Mississippi
Buff Burrell,	Southern California
Ken Alston,	Valdosta State
Oliver Purnell,	Old Dominion
Gerald Willett,	Oregon
Allen Spruill,	North Carolina A&T
Henry Ward,	Jackson State
Hank Williams,	Jacksonville
William Johnson,	Texas Tech
Larry Smith,	North Carolina A&T
Clint Chapman,	Southern California
Bill Andreas,	Ohio State
Tony Styles,	San Francisco
Larry Jackson,	North Carolina-Charlotte
John Garrett,	Purdue
Rick Coleman,	Jacksonville
Bill Higgins,	Ashland
Rick Suttle,	Kansas
Gus Johnson,	Winona State
Dave Edmunds,	West Georgia
Mike Flynn,	Kentucky
Steve Fields,	Miami (OH)
Wilbur Thomas,	American
Shawn Leftwick,	Jacksonville
Peter Davis,	Michigan State
Ike Williams,	Armstrong
Nathaniel Barnett,	Akron
Hollis Miller,	Drury
Wayne Croft,	Clemson
John Grochowalski,	Assumption
Stan Boyer,	Wyoming
Mike Franklin,	Cincinnati
Al Boswell,	Oral Roberts
Fletcher Johnson,	Randolph-Macon
Harvey Carmichael,	Kentucky State
Mike Cashman,	Willamette
Oscar Jackson,	Duquesne
Jack Schrader,	Arizona State
Freeman Blade,	Montana State
Bob McCurdy,	Richmond
Charley Neal,	Oregon State
Jerry Homan,	Marquette
John Kelley,	Dillard
Andre McCarter,	California-Los Angeles
Leon Johnson,	Centenary (LA)
Ken McKenzie,	Montana
Jim Bostic,	New Mexico State
John Murphy,	Massachusetts
Mike Rozenski,	St. Mary's (CA)
Allen Jones,	Pepperdine
Bruce Hamming,	Augustana (IL)
Roger Morningstar,	Kansas
Fred Stokes,	Barber-Scotia
Dave Schlesser,	Morningside
Owen Brown,	Maryland
Larry Harralson,	Drake
Quintin Braxton,	Portland
Eric Hays,	Montana
Terry Thomas,	Detroit Mercy
Skip Howard,	Bowling Green
Tim van Blommesteyn,	Princeton
Steve Storther,	Providence
Rich Haws,	Utah State
Gary Tomaszewski,	St. Mary's (TX)
Scott Trobbe,	Stanford
George Rautins,	Niagara
Robert Rhodes,	Albany State (GA)
Doug Brookins,	Creighton
Aleksander Belov,	BC Spartak Saint Petersburg (Russia)
Vic Kelly,	Hawaii
Mike Moon,	Arizona State
Rick Reed,	Azusa Pacific
Romy Thomas,	Wisconsin-Eau Claire
Tyree Foster,	Portland
Eric Anderson,	Macalester
Mo Rivers,	North Carolina State
Mickey Fox,	Saint Mary's (CAN)
Jerry Bellotti,	Santa Clara
Maurice Harper,	St. Mary's (CA)
Art Allen,	Pepperdine
Mike Fahey,	Brandeis
Bill Endicott,	Massachusetts
Bill Walton,	California-Los Angeles
Marvin Barnes,	Providence
Tom Burleson,	North Carolina State
John Shumate,	Notre Dame
Bobby Jones,	North Carolina
Scott Wedman,	Colorado
Tom Henderson,	Hawaii
Campy Russell,	Michigan
Tom McMillen,	Maryland
Mike Sojourner,	Utah
Jamaal Wilkes,	California-Los Angeles
Brian Winters,	South Carolina
Len Elmore,	Maryland
Maurice Lucas,	Marquette
Al Eberhard,	Missouri
Cliff Pondexter,	Long Beach State
Glenn McDonald,	Long Beach State
Gary Brokaw,	Notre Dame
Don Smith,	Dayton
Jan Van Breda Kolff,	Vanderbilt
Billy Knight,	Pittsburgh
Truck Robinson,	Tennessee State
Gus Bailey,	Texas-El Paso
Len Kosmalski,	Tennessee
John Drew,	Gardner-Webb
Leonard Gray,	Long Beach State
Leon Benbow,	Jacksonville
Aaron James,	Grambling
Phil Smith,	San Francisco
Dennis DuVal,	Syracuse
Fred Saunders,	Syracuse
Jesse Dark,	Virginia Commonwealth
Eric Money,	Arizona
Phil Lumpkin,	Miami (OH)
Kevin Stacom,	Providence
Rubin Collins,	Maryland-Eastern Shore
Connie Norman,	Arizona
Foots Walker,	West Georgia
Kevin Restani,	San Francisco
George Gervin,	Eastern Michigan
Robert Wilson,	Iowa State
Harvey Catchings,	Hardin-Simmons
Darrell Elston,	North Carolina
Talvin Skinner,	Maryland-Eastern Shore
Kim Hughes,	Wisconsin
Bruce King,	Texas-Pan American
Frank Kendrick,	Purdue
Jim Bradley,	Northern Illinois
Earl Williams,	Winston-Salem State
Rudy Jackson,	Hutchinson Community College
Roland Grant,	New Mexico State
Bobby Wilson,	Wichita State
Roscoe Pondexter,	Long Beach State
Greg McDougald,	Oral Roberts
Butch Taylor,	Jacksonville
Mickey Johnson,	Aurora
James Foster,	Connecticut
Randy Allen,	Indiana (PA)
Larry Robinson,	Texas
Lloyd Batts,	Cincinnati
Ed Palubinskas,	Louisiana State
William Gordon,	Maryland-Eastern Shore
Bernie Harris,	Virginia Commonwealth
Ray Price,	Washington
Willie Biles,	Tulsa
Stan Washington,	San Diego
Ron de Vries,	Illinois State
Roy Ebron,	Louisiana-Lafayette
Mickey Martin,	Pittsburgh
Jim Forbes,	Texas-El Paso
Lerman Battle,	Fairmont State
Lionel Billingy,	Duquesne
Gary Crowthers,	Hardin-Simmons
Bernard Hardin,	New Mexico
Gary Novak,	Notre Dame
Ralph Bobik,	Creighton
Owen Wells,	Detroit Mercy
Terry Compton,	Vanderbilt
Tyrone Medley,	Utah
Dean Tolson,	Arkansas
Tony Byers,	Wake Forest
Ed Searcy,	St. John's (NY)
Steve Erickson,	Oregon
Seymour Reed,	Bradley
Gary Anderson,	Washington
Greg Jackson,	Guilford
Joe Newman,	Temple
Randy Knowles,	Texas A&M
Ben Clyde,	Florida State
John Johnson,	Denver
Mark Westra,	Southern California
Daniel Anderson,	Southern California
Aron Stewart,	Richmond
Collis Temple,	Louisiana State
Lawrence Johnson,	Prairie View A&M
Ron Kennedy,	Arizona
Sam Hervey,	Southern Methodist
Wardell Jackson,	Ohio State
Gary Link,	Missouri
Lawrence McCray,	Florida State
John Errecart,	Pacific
Roy McPipe,	Montana State
Billy Morris,	Saint Louis
Terry Mikan,	St. Thomas (FL)
Mike Sylvester,	Dayton
Robert Rosier,	St. Thomas (FL)
Gene Harmon,	Creighton
Larry Williams,	Kansas State
Dave Stoczynski,	Gannon
Doug Richards,	Brigham Young
Mike Robinson,	Michigan State
Clyde Dickey,	Boise State
Kevin Fitzgerald,	Oklahoma
Mark Browne,	Missouri
Greg Lee,	California-Los Angeles
Jerry Faulkner,	West Georgia
Tommy Curtis,	California-Los Angeles
Joel Copeland,	Old Dominion
Brady Allen,	California
Dennis Van Zant,	Azusa Pacific
Tom Turner,	West Georgia
Billy Smith,	Mercer
Sammy High,	Tulsa
Geoff Roberts,	Missouri
Ron Brown,	Penn State
Bob Hornstein,	West Virginia
Jimmy Powell,	Middle Tennessee State
Eldridge Broussard,	Pacific (OR)
Kerry Hughes,	Wisconsin
Tom Holland,	Oklahoma
Steve Brooks,	Arkansas State
Richie O'Connor,	Fairfield
Bill Butler,	Louisville
Leonard Coulter,	Morehead State
Glenn Price,	St. Bonaventure
Jay Piccola,	Roanoke
Clarence Allen,	California-Santa Barbara
Steve Platt,	Huntington
Bob Florence,	Nevada-Las Vegas
Dennis McDermott,	St. Francis Brooklyn
Greg Newman,	Drexel
Sam McCants,	Oral Roberts
Richard Wallace,	Georgia Southern
Ralph Palamar,	Cameron
Perry Warbington,	Georgia Southern
Lee Haven,	Colorado
Jim Buskofsky,	Upper Iowa
Ted Evans,	Oklahoma
Ken Stalling,	Missouri S&T
Jeff Dawson,	Illinois
Lon Kruger,	Kansas State
Bertrand du Pont,	Dillard
John Falconi,	Davidson
Ken Boyd,	Boston University
Carl Meier,	California
Mark Raterink,	Boston College
Earl Brown,	Lafayette
Gary Deitelhoff,	Millikin
Jerry Davenport,	Cameron
Al Skinner,	Massachusetts
Mike Deane,	Potsdam
Larry Witherspoon,	Towson
Ron Jones,	Oregon State
Jim Kelly,	Loras
Mark Wasley,	Arizona State
Marcus Washington,	Marquette
Dennis White,	Arkansas
Brendy Lee,	Nebraska
Rod Derline,	Seattle
Andy Rimol,	Princeton
Walt McGary,	Tennessee-Chattanooga
Marvin Buckley,	Nevada-Reno
Pete Collins,	High Point
John O'Connell,	North Carolina
Bill Ligon,	Vanderbilt
Rick Hockenos,	Saint Francis (PA)
Phil Rogers,	Fairfield
Bruce Featherston,	Texas State
Doug Collins,	Illinois State
Jim Brewer,	Minnesota
Ernie DiGregorio,	Providence
Mike Green,	Louisiana Tech
Kermit Washington,	American
Ed Ratleff,	Long Beach State
Ron Behagen,	Minnesota
Mike Bantom,	Saint Joseph's
Dwight Jones,	Houston
John Brown,	Missouri
Kevin Joyce,	South Carolina
Kevin Kunnert,	Iowa
Nick Weatherspoon,	Illinois
Mel Davis,	St. John's (NY)
Barry Parkhill,	Virginia
Swen Nater,	California-Los Angeles
Steve Downing,	Indiana
Raymond Lewis,	Cal State-Los Angeles
Louie Nelson,	Washington
Mike D'Antoni,	Marshall
Allan Bristow,	Virginia Tech
George McGinnis,	Indiana
Billy Schaeffer,	St. John's (NY)
Kevin Stacom,	Providence
Larry McNeill,	Marquette
Allan Hornyak,	Ohio State
Tom Ingelsby,	Villanova
Patrick McFarland,	Saint Joseph's
Derrek Dickey,	Cincinnati
Wendell Hudson,	Alabama
Jim Chones,	Marquette
Caldwell Jones,	Albany State (GA)
Gary Melchionni,	Duke
John Perry,	Texas-Pan American
Phil Hankinson,	Pennsylvania
Ted Manakas,	Princeton
Jim O'Brien,	Maryland
Ken Charles,	Fordham
Martin Terry,	Arkansas
Ozzie Edwards,	Oklahoma City
James Lister,	Sam Houston State
Joe Reaves,	Bethel (TN)
Steve Mitchell,	Kansas State
Bo Lamar,	Louisiana-Lafayette
Leonard Gray,	Long Beach State
